CreditScore,Geography,Gender,Age,Tenure,EstimatedSalary,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
722,Spain,Female,29.0,9,142033.07,0.0,2,1,1,0
475,France,Female,45.0,0,27822.99,134264.04,1,0,0,1
490,Spain,Male,31.0,3,114066.77,145260.23,1,1,1,0
804,Spain,Male,33.0,7,98453.45,76548.6,1,1,1,0
850,France,Male,36.0,7,40812.9,0.0,1,1,1,0
582,Germany,Male,41.0,6,178074.04,70349.48,2,1,1,0
472,Spain,Male,40.0,4,70154.22,0.0,1,0,0,0
465,France,Female,51.0,8,181297.65,122522.32,1,0,0,1
556,France,Female,61.0,2,94153.83,117419.35,1,1,1,0
834,France,Female,49.0,2,194365.76,131394.56,1,0,0,1
660,Spain,Female,61.0,5,158338.39,155931.11,1,1,1,0
776,Germany,Female,32.0,4,126517.46,109421.13,2,1,1,0
829,Germany,Female,27.0,9,119708.21,112045.67,1,1,1,1
637,Germany,Female,39.0,9,117622.8,137843.8,1,1,1,1
550,Germany,Male,38.0,2,90878.13,103391.38,1,1,1,0
776,Germany,Female,37.0,2,194099.12,103769.22,2,0,0,0
698,Germany,Male,44.0,10,198059.16,116363.37,2,0,0,0
585,Germany,Male,36.0,5,86424.57,146050.97,2,0,0,0
788,France,Female,33.0,5,116978.19,0.0,2,0,0,0
655,Germany,Male,41.0,8,164040.94,125561.97,1,0,0,1
601,Germany,Male,42.0,1,40014.76,98495.72,1,0,0,1
619,France,Male,43.0,1,113410.49,125211.92,1,1,1,0
656,France,Male,45.0,5,87107.57,127864.4,1,0,0,0
725,Germany,Male,19.0,0,45613.75,75888.2,1,0,0,0
511,Spain,Female,66.0,4,1643.11,0.0,1,0,0,1
614,France,Male,51.0,4,46775.28,40685.92,1,1,1,0
742,Germany,Male,35.0,5,84509.57,136857.0,1,0,0,0
687,Germany,Female,27.0,9,126494.82,152328.88,2,0,0,0
555,Spain,Male,33.0,1,178798.13,56084.69,2,0,0,0
684,Spain,Male,56.0,8,99398.36,78707.16,1,1,1,0
603,Germany,Male,26.0,4,92840.67,109166.37,1,1,1,0
751,Germany,Female,36.0,6,27758.36,169831.46,2,1,1,0
581,Germany,Female,34.0,1,110431.51,101633.04,1,0,0,0
735,Germany,Male,43.0,10,196673.28,123180.01,2,1,1,0
661,Germany,Female,35.0,5,113656.85,150725.53,2,1,1,0
675,France,Female,21.0,8,18203.0,98373.26,1,0,0,0
738,Germany,Male,58.0,2,28373.86,133745.44,4,0,0,1
813,France,Male,29.0,6,33953.87,0.0,1,0,0,0
657,Spain,Female,37.0,0,44203.55,163607.18,1,1,1,0
604,Germany,Female,25.0,5,58426.81,157780.84,2,1,1,0
519,France,Male,36.0,9,145562.4,0.0,2,1,1,0
735,France,Female,21.0,1,22388.0,178718.19,2,0,0,0
664,France,Male,55.0,8,139161.64,0.0,2,1,1,0
678,France,Female,32.0,9,148210.64,0.0,1,1,1,0
757,Spain,Male,33.0,5,194239.63,77253.22,1,1,1,0
416,Germany,Female,41.0,10,98301.61,122189.66,2,0,0,0
665,France,Female,34.0,1,171413.66,96645.54,2,0,0,0
777,France,Female,32.0,2,136458.19,0.0,1,0,0,1
543,France,Female,36.0,3,26019.59,0.0,2,0,0,0
506,France,Female,34.0,4,159235.29,90307.62,1,1,1,0
493,France,Female,46.0,4,1907.66,0.0,2,0,0,0
652,Spain,Female,75.0,10,114675.75,0.0,2,1,1,0
750,Spain,Male,22.0,3,128643.35,121681.82,1,0,0,1
729,France,Male,30.0,9,151869.35,0.0,2,0,0,0
646,France,Female,46.0,4,93251.42,0.0,3,0,0,1
635,Germany,Female,28.0,3,156791.36,81623.67,2,1,1,0
647,Spain,Female,44.0,5,174205.22,0.0,3,1,1,1
808,France,Male,45.0,7,147132.46,118626.55,2,0,0,0
524,France,Female,36.0,10,109614.57,0.0,2,0,0,0
769,France,Male,29.0,8,172290.61,0.0,2,1,1,0
730,Spain,Male,42.0,4,85982.47,0.0,2,1,1,0
515,Spain,Male,35.0,10,121277.78,176273.95,1,1,1,0
773,Spain,Male,41.0,9,64595.25,102827.44,1,1,1,0
814,Germany,Male,29.0,8,197276.13,97086.4,2,1,1,0
710,Spain,Male,22.0,8,99645.04,0.0,2,0,0,0
413,France,Male,34.0,9,6534.18,0.0,2,0,0,0
665,France,Female,40.0,6,161848.03,0.0,1,1,1,0
623,France,Female,44.0,6,167162.43,0.0,2,0,0,0
738,France,Male,31.0,9,41970.72,82674.15,1,0,0,0
528,Spain,Male,36.0,7,60536.56,0.0,2,0,0,0
670,Spain,Female,65.0,1,177655.68,0.0,1,1,1,1
622,Spain,Female,46.0,4,30984.59,107073.27,2,1,1,1
582,Germany,Male,32.0,1,10054.53,88938.62,1,1,1,0
785,Germany,Female,36.0,2,36976.52,99806.85,1,1,1,0
605,Spain,Male,33.0,5,71862.79,150092.8,1,0,0,0
479,Germany,Male,35.0,9,99449.86,92833.89,1,0,0,1
685,Germany,Male,30.0,3,63082.88,90536.81,1,1,1,0
538,Germany,Male,39.0,7,27231.26,108055.1,2,0,0,0
562,France,Male,42.0,2,86797.41,100238.35,1,0,0,0
675,Spain,Male,36.0,9,22994.32,106190.55,1,1,1,0
721,Germany,Male,28.0,9,101300.94,154475.54,2,1,1,1
628,Germany,Female,30.0,9,74169.13,132351.29,2,1,1,0
668,Germany,Female,37.0,6,115638.29,167864.4,1,0,0,0
506,France,Female,41.0,1,31766.3,0.0,2,0,0,0
524,Germany,Female,31.0,8,199725.39,107818.63,1,0,0,1
699,Germany,Male,34.0,4,120834.48,185173.81,2,0,0,0
828,France,Male,34.0,8,38131.77,129433.34,2,0,0,0
656,France,Female,39.0,6,141069.88,0.0,2,0,0,0
684,Germany,Female,48.0,10,198129.36,126384.42,1,1,1,0
625,France,Female,28.0,3,183646.41,0.0,1,0,0,0
432,France,Male,42.0,9,110265.24,152603.45,1,0,0,1
549,France,Female,52.0,1,8636.05,0.0,1,1,1,1
625,Germany,Male,56.0,0,46824.08,148507.24,1,0,0,1
828,France,Female,41.0,7,171378.77,0.0,2,0,0,0
770,France,Male,24.0,9,167256.35,101827.07,1,0,0,0
758,France,Female,34.0,3,124226.16,0.0,2,1,1,0
795,Germany,Female,33.0,9,114935.21,130862.43,1,1,1,0
687,France,Male,38.0,9,35608.88,122570.87,1,1,1,0
686,France,Male,25.0,1,16459.37,0.0,2,1,1,0
789,Germany,Male,39.0,7,124411.08,124828.46,2,1,1,0
589,Germany,Female,50.0,5,34941.23,144895.05,2,1,1,0
461,Germany,Female,34.0,5,167784.28,63663.93,1,1,1,0
637,France,Male,40.0,2,93165.34,133463.1,1,1,1,0
584,Spain,Female,48.0,2,75161.25,213146.2,1,0,0,1
579,Spain,Female,35.0,1,8590.83,129490.36,2,1,1,1
756,Germany,Male,44.0,10,189543.9,137452.09,1,0,0,0
663,France,Male,34.0,7,180427.24,0.0,2,1,1,0
682,France,Female,43.0,5,193318.33,125851.93,1,1,1,0
793,Spain,Male,52.0,2,159123.82,0.0,1,0,0,1
691,France,Female,31.0,5,126213.84,40915.55,1,0,0,1
485,Spain,Female,21.0,5,54141.5,113157.22,1,1,1,0
635,Spain,Female,29.0,8,141075.51,138296.94,2,0,0,0
650,France,Male,37.0,5,24495.03,106967.18,1,0,0,0
735,France,Male,44.0,9,74836.34,120681.63,1,0,0,0
416,France,Male,32.0,0,878.87,0.0,2,1,1,0
754,Spain,Female,32.0,7,89520.75,0.0,2,0,0,0
535,France,Female,48.0,9,149892.79,0.0,1,0,0,1
716,Spain,Male,42.0,8,180800.42,0.0,2,0,0,0
539,France,Male,37.0,2,98646.22,127609.59,1,0,0,0
614,France,Female,43.0,6,109041.53,0.0,2,1,1,0
706,Spain,Male,57.0,7,17941.16,0.0,1,0,0,1
758,France,Female,33.0,7,82996.47,0.0,2,0,0,0
586,Spain,Female,28.0,2,92067.35,0.0,2,1,1,0
646,France,Female,73.0,6,104719.66,97259.25,1,1,1,0
631,Germany,Female,33.0,4,112687.57,123246.7,1,0,0,0
717,Spain,Female,22.0,6,84699.56,101060.25,1,1,1,0
684,France,Male,30.0,2,83473.82,0.0,2,0,0,0
800,France,Female,49.0,7,47125.11,108007.36,1,0,0,0
721,Spain,Female,36.0,2,106977.8,0.0,2,1,1,0
683,Spain,Male,29.0,0,55582.54,133702.89,1,0,0,1
660,Germany,Male,31.0,9,139874.43,125189.75,2,1,1,0
704,Germany,Female,24.0,7,162503.48,113034.22,1,0,0,1
615,Spain,Female,41.0,9,196499.96,109013.23,1,0,0,0
667,Spain,Female,39.0,2,40721.24,0.0,2,0,0,1
682,Germany,Male,24.0,9,53134.3,57929.81,2,0,0,0
484,France,Female,29.0,4,164017.89,130114.39,1,0,0,0
628,Germany,Male,27.0,5,155996.96,95826.49,2,0,0,0
480,Germany,Male,44.0,10,5472.7,129608.57,1,0,0,1
578,France,Male,30.0,4,112187.11,169462.09,1,0,0,0
512,France,Male,40.0,5,146457.83,0.0,2,1,1,0
484,Spain,Female,35.0,7,27286.1,133868.21,1,1,1,0
510,France,Female,30.0,0,130553.47,0.0,2,1,1,0
606,Germany,Male,36.0,5,179351.89,190479.48,2,0,0,0
597,Spain,Female,40.0,8,94774.12,101993.12,1,1,1,0
754,Germany,Female,55.0,3,8080.85,161608.81,1,0,0,1
850,Spain,Female,45.0,2,19482.5,122311.21,1,1,1,0
510,France,Male,65.0,2,48071.61,0.0,2,1,1,0
778,Germany,Female,45.0,1,174531.27,162150.42,2,0,0,0
636,France,Male,42.0,2,55470.78,0.0,2,1,1,0
804,France,Female,50.0,4,8546.87,0.0,1,1,1,1
514,France,Male,32.0,8,95857.18,0.0,2,0,0,0
730,France,Female,39.0,1,194945.8,99010.67,1,0,0,0
525,Spain,Female,37.0,0,131521.72,0.0,1,1,1,0
616,Spain,Male,30.0,5,196108.51,0.0,2,1,1,0
687,Germany,Female,34.0,7,148564.76,111388.18,2,0,0,0
715,France,Female,41.0,8,92982.61,56214.85,2,0,0,1
512,France,Female,36.0,3,17675.36,84327.77,2,0,0,0
479,France,Male,40.0,1,114996.43,0.0,2,0,0,0
601,France,Male,32.0,8,86957.42,93012.89,1,0,0,0
580,Spain,Male,29.0,9,128077.8,61710.44,2,0,0,0
807,France,Male,35.0,3,600.36,174790.15,1,1,1,0
616,Spain,Female,32.0,6,43001.46,0.0,2,1,1,0
721,Germany,Male,37.0,3,158591.12,107720.64,1,1,1,0
501,France,Male,57.0,10,47847.19,0.0,2,1,1,0
521,France,Male,35.0,6,10488.44,96423.84,1,0,0,0
850,Spain,Male,30.0,2,5978.2,141040.01,1,1,1,0
759,France,Male,42.0,4,121409.06,105420.18,1,1,1,0
516,Spain,Male,50.0,5,146145.93,0.0,1,1,1,1
711,France,Female,38.0,2,14374.86,129022.06,2,1,1,1
512,Spain,Male,33.0,3,94670.77,176666.62,1,0,0,0
550,France,Male,37.0,3,179670.31,0.0,1,1,1,0
608,Spain,Female,41.0,3,199304.74,89763.84,1,0,0,1
618,France,Male,34.0,5,151954.39,134954.53,1,1,1,0
643,France,Male,45.0,5,142513.5,0.0,1,0,0,1
671,France,Male,45.0,2,158264.62,106376.85,1,1,1,0
689,Germany,Male,33.0,2,169381.9,161814.64,2,0,0,0
603,France,Male,31.0,8,169915.02,0.0,2,1,1,0
620,France,Female,41.0,9,88852.47,0.0,2,0,0,0
676,France,Female,34.0,1,40645.81,63095.01,1,1,1,0
572,Germany,Male,26.0,4,60427.3,118287.01,2,0,0,0
668,Germany,Male,47.0,7,157959.02,106854.21,1,1,1,1
695,France,Male,46.0,7,133007.34,49512.55,1,0,0,0
730,Spain,Female,33.0,9,176576.62,0.0,2,0,0,0
807,France,Male,43.0,1,34888.04,105799.32,2,0,0,1
592,France,Male,54.0,8,28737.71,0.0,1,1,1,1
726,France,Female,31.0,9,98178.57,114722.05,2,1,1,0
514,Spain,Male,30.0,7,125010.24,0.0,1,1,1,0
567,France,Male,42.0,2,167984.61,0.0,2,1,1,0
850,France,Male,33.0,10,4861.72,0.0,1,0,0,1
671,Germany,Male,45.0,6,108872.45,99564.22,1,1,1,1
670,France,Male,37.0,4,198252.88,170557.91,2,0,0,0
694,France,Female,30.0,9,26960.31,0.0,2,1,1,0
547,Germany,Female,39.0,6,85746.52,74596.15,3,1,1,1
751,Germany,Male,50.0,2,77206.25,96888.39,1,0,0,1
594,Germany,Female,29.0,3,61048.53,130830.22,1,0,0,0
673,France,Male,72.0,1,111981.19,0.0,2,1,1,0
610,France,Male,40.0,0,62232.6,0.0,2,0,0,0
512,France,Female,37.0,1,156105.03,0.0,2,1,1,0
767,Germany,Male,20.0,3,150135.38,119714.25,2,1,1,0
585,France,Female,67.0,5,93146.11,113978.97,2,1,1,0
763,Germany,Male,42.0,6,33462.94,100160.75,1,0,0,1
712,France,Female,29.0,2,144375.0,0.0,1,1,1,0
539,Germany,Female,43.0,3,55803.96,116220.5,3,0,0,1
668,France,Female,46.0,2,89048.46,0.0,3,0,0,1
703,France,Male,28.0,2,162812.16,81173.83,2,1,1,0
662,Spain,Male,38.0,4,136259.65,0.0,2,0,0,0
725,Germany,Female,39.0,5,124052.97,116803.8,1,0,0,0
703,France,Male,37.0,8,74158.8,105961.68,2,1,1,0
659,Germany,Male,67.0,6,45071.09,117411.6,1,1,1,1
523,Spain,Male,34.0,7,62030.06,0.0,2,0,0,0
635,France,Female,40.0,10,131953.23,123497.58,1,0,0,1
772,Germany,Male,26.0,7,79414.0,152400.51,2,0,0,0
545,France,Female,26.0,1,199638.56,0.0,2,1,1,0
634,Germany,Male,24.0,8,157577.29,103097.85,1,1,1,0
739,Germany,Male,54.0,8,134420.75,126418.14,1,0,0,1
771,Germany,Female,36.0,5,99805.99,77846.9,1,0,0,0
587,Spain,Female,34.0,1,97932.68,0.0,2,1,1,0
681,France,Female,79.0,0,170968.99,0.0,2,1,1,0
544,Germany,Male,37.0,2,57558.95,79731.91,1,1,1,0
696,Spain,Male,28.0,8,176713.47,0.0,1,0,0,0
766,Spain,Male,41.0,0,34283.23,0.0,2,1,1,0
727,France,Male,34.0,10,198637.34,0.0,2,1,1,0
671,Germany,Female,34.0,6,156917.12,37266.67,2,0,0,0
693,France,Female,30.0,6,50457.2,127992.25,1,1,1,0
850,Germany,Male,38.0,3,140075.55,54901.01,1,1,1,0
732,Germany,Male,42.0,9,65323.11,108748.08,2,1,1,0
726,Spain,Female,48.0,6,64323.24,99906.19,1,0,0,0
557,France,Female,32.0,6,14956.44,184686.41,2,0,0,0
682,France,Female,26.0,0,111879.21,110654.02,1,1,1,0
738,Spain,Male,31.0,9,18606.23,79019.8,1,1,1,0
531,Spain,Female,36.0,9,123137.01,99240.51,1,0,0,0
498,France,Male,34.0,2,148528.24,0.0,2,1,1,0
651,France,Male,36.0,7,13898.31,0.0,2,0,0,0
549,Spain,Female,39.0,7,81259.25,0.0,1,0,0,1
791,Germany,Female,35.0,7,161051.75,52436.2,1,0,0,0
650,Spain,Male,41.0,9,191599.67,0.0,2,1,1,0
733,Germany,Male,34.0,3,48559.19,100337.96,3,0,0,1
811,Germany,Female,34.0,1,186339.74,149297.19,2,1,1,0
707,France,Male,30.0,8,33159.37,0.0,2,0,0,0
712,Germany,Male,28.0,4,93883.53,145605.44,1,1,1,0
706,Spain,Female,37.0,7,110899.3,0.0,2,1,1,0
756,France,Male,62.0,3,11199.04,0.0,1,1,1,1
777,France,Female,53.0,10,189992.97,0.0,2,0,0,0
646,France,Male,35.0,6,164255.69,84026.86,1,1,1,0
714,France,Male,46.0,1,152167.79,0.0,1,0,0,1
782,France,Male,39.0,8,33949.67,0.0,2,1,1,0
775,Spain,Male,29.0,10,68143.93,0.0,2,1,1,0
479,Germany,Male,35.0,4,47251.79,138718.92,1,1,1,1
807,France,Male,42.0,7,25885.72,118274.71,1,1,1,0
799,France,Female,22.0,8,192633.85,174185.98,2,1,1,0
675,France,Male,40.0,7,34577.36,113208.86,2,0,0,0
602,Spain,Male,29.0,5,161229.84,103907.28,1,0,0,0
475,France,Female,32.0,8,100816.29,119023.28,1,0,0,0
744,Spain,Female,26.0,5,181694.44,166297.89,1,1,1,0
588,Spain,Male,34.0,10,79078.91,0.0,2,0,0,0
703,Germany,Male,42.0,9,137316.32,63227.0,1,1,1,0
747,Spain,Female,41.0,5,194926.86,94521.17,2,0,0,0
583,France,Male,27.0,7,51285.49,0.0,2,0,0,0
750,Spain,Female,34.0,9,150401.53,112822.26,1,0,0,1
681,France,Male,38.0,3,112491.96,0.0,2,1,1,0
773,France,Male,25.0,2,73656.38,135903.33,1,0,0,0
714,France,Female,31.0,4,106636.89,125169.26,1,1,1,0
687,Spain,Female,44.0,7,155853.52,0.0,3,0,0,1
511,France,Male,58.0,0,162599.51,149117.31,1,1,1,0
627,France,Male,33.0,5,103737.82,0.0,2,1,1,0
694,France,Female,31.0,10,160990.27,0.0,2,0,0,0
616,Spain,Female,36.0,6,15462.84,132311.71,1,0,0,0
687,France,Male,35.0,8,10334.05,0.0,2,0,0,0
712,France,Female,33.0,6,190686.16,0.0,2,1,1,0
553,France,Male,33.0,4,94440.45,118082.89,1,0,0,0
667,France,Male,31.0,1,28257.63,119266.69,1,1,1,0
731,France,Male,43.0,2,170034.95,0.0,1,1,1,1
629,Germany,Male,35.0,7,31824.29,156847.29,2,0,0,0
614,France,Male,50.0,4,127166.49,137104.47,1,0,0,1
438,Germany,Male,31.0,8,44937.01,78398.69,1,0,0,0
652,France,Female,80.0,4,188603.07,0.0,2,1,1,0
729,Germany,Male,30.0,6,145111.37,63669.42,1,0,0,0
642,France,Male,38.0,3,171463.83,0.0,2,0,0,0
806,Germany,Female,59.0,0,182822.5,135296.33,1,0,0,0
744,Spain,Male,36.0,2,87213.33,153804.44,1,1,1,0
474,Spain,Male,37.0,3,57175.32,0.0,2,0,0,0
559,France,Male,49.0,2,120540.83,147069.78,1,0,0,1
706,Spain,Male,42.0,9,28714.34,0.0,2,1,1,0
628,Spain,Female,22.0,3,85426.28,0.0,1,0,0,0
429,France,Male,24.0,4,46170.75,95741.75,1,0,0,0
525,Spain,Female,57.0,2,64448.36,145965.33,1,1,1,0
680,France,Female,30.0,8,16278.97,141441.75,1,1,1,0
749,France,Male,40.0,1,182855.42,139290.41,1,0,0,1
763,France,Female,31.0,4,50404.72,0.0,2,0,0,0
734,France,Male,30.0,3,107640.25,0.0,2,0,0,0
716,France,Male,35.0,4,134132.65,144428.87,1,0,0,0
594,France,Male,35.0,2,103480.69,0.0,2,0,0,0
644,France,Female,46.0,9,108761.05,95441.27,1,0,0,1
671,Germany,Male,35.0,1,179012.3,144848.74,1,1,1,0
664,Germany,Male,26.0,7,95145.14,116244.14,2,1,1,0
656,France,Male,50.0,7,72143.44,0.0,2,1,1,0
667,Spain,Female,40.0,1,19162.89,146502.07,1,0,0,0
663,Germany,Male,44.0,2,144680.18,117028.6,2,1,1,0
584,Germany,Female,30.0,8,177772.03,112013.81,1,0,0,1
626,Spain,Female,37.0,6,5597.94,108269.37,1,0,0,0
485,France,Male,29.0,7,116828.51,182123.79,1,0,0,1
659,Germany,Female,32.0,3,174652.51,150923.74,2,1,1,0
649,France,Male,33.0,2,2010.98,0.0,2,0,0,0
805,Spain,Female,39.0,5,14109.85,165272.13,1,0,0,1
716,Germany,Female,39.0,10,43527.4,115301.31,1,0,0,1
642,Germany,Female,40.0,6,86099.23,129502.49,2,1,1,1
659,France,Male,31.0,4,161574.19,118342.26,1,0,0,0
545,Spain,Female,47.0,5,38970.14,0.0,2,1,1,0
543,France,Male,22.0,8,127587.22,0.0,2,0,0,0
718,France,Female,25.0,7,30380.12,0.0,2,0,0,0
840,France,Female,43.0,7,90908.95,0.0,2,0,0,0
630,Germany,Female,34.0,9,138275.01,106937.05,2,0,0,0
643,Germany,Male,59.0,3,32171.79,170331.37,1,1,1,0
654,Germany,Female,32.0,1,126143.23,114510.85,1,1,1,0
582,France,Male,39.0,5,129892.93,0.0,2,1,1,0
659,Spain,Male,32.0,3,102416.84,107594.11,2,1,1,0
762,Spain,Male,39.0,2,18719.67,81273.13,1,1,1,0
568,Spain,Female,32.0,7,61936.22,169399.6,1,0,0,0
670,Spain,Male,25.0,6,78358.94,0.0,2,1,1,0
613,France,Female,45.0,1,147224.27,187841.99,2,1,1,0
539,France,Male,30.0,0,160979.66,0.0,2,0,0,0
850,Spain,Female,57.0,8,132298.49,126776.3,2,1,1,0
522,Spain,Male,34.0,9,174248.52,126436.29,1,0,0,1
737,France,Male,41.0,1,123547.28,101960.74,1,1,1,0
520,France,Male,58.0,3,32790.02,0.0,2,1,1,0
706,Spain,Male,28.0,3,181543.67,0.0,2,1,1,0
643,Germany,Female,45.0,2,2319.96,150842.93,1,1,1,1
648,France,Female,50.0,9,189543.19,102535.57,1,1,1,0
443,Germany,Female,29.0,9,10940.4,99027.61,2,0,0,0
640,France,Male,68.0,9,199493.38,0.0,2,1,1,0
628,Spain,Female,33.0,3,188193.25,0.0,1,1,1,0
540,Germany,Female,42.0,9,172572.64,87271.41,2,0,0,0
460,Germany,Female,35.0,8,189339.6,102742.91,2,1,1,0
636,Germany,Male,34.0,2,53512.16,40105.51,2,1,1,0
593,France,Female,29.0,2,34004.44,152265.43,1,0,0,0
801,Spain,Male,42.0,4,10598.29,141947.67,1,1,1,0
640,Germany,Female,75.0,1,113428.77,106307.91,2,1,1,0
611,Germany,Male,31.0,0,183487.98,107884.81,2,1,1,0
802,Germany,Male,31.0,1,187658.09,125013.72,1,1,1,0
717,Germany,Male,35.0,7,172459.39,58469.37,2,1,1,0
769,France,Female,39.0,8,21016.0,0.0,1,1,1,0
745,Germany,Male,45.0,10,122381.02,117231.63,3,1,1,1
572,Spain,Male,35.0,4,128123.66,152390.26,1,0,0,0
629,Spain,Female,30.0,2,19570.63,34013.63,1,0,0,0
687,Spain,Female,39.0,2,188150.6,0.0,3,0,0,1
483,France,Female,50.0,9,111020.24,0.0,2,1,1,0
690,France,Male,36.0,7,123775.15,101583.11,2,0,0,0
492,Germany,Female,30.0,10,146700.22,77168.87,2,1,1,0
709,Germany,Male,28.0,8,145251.35,124695.72,2,0,0,0
705,Germany,Male,44.0,3,82463.69,105934.96,1,0,0,0
560,France,Female,66.0,9,15928.49,0.0,1,1,1,0
611,Spain,Male,46.0,6,45886.33,0.0,2,0,0,0
730,Spain,Male,62.0,2,186489.95,0.0,2,1,1,0
709,Spain,Female,45.0,2,162922.65,0.0,2,1,1,0
544,France,Female,21.0,10,9262.77,161525.96,2,0,0,0
712,Germany,Female,29.0,7,84932.4,147199.07,1,1,1,0
752,Germany,Male,38.0,3,71557.12,183102.29,1,1,1,0
648,Spain,Male,46.0,9,77405.95,127209.0,2,0,0,1
556,Spain,Male,38.0,8,417.41,0.0,2,0,0,1
594,Spain,Female,24.0,0,71405.17,97378.54,1,1,1,0
645,Germany,Female,37.0,2,153400.24,136925.09,2,1,1,0
557,France,Male,33.0,3,371.05,54503.55,1,1,1,0
547,Germany,Male,32.0,8,67789.99,155726.85,1,0,0,0
701,France,Female,39.0,9,145894.9,0.0,2,1,1,0
616,France,Female,66.0,1,183840.51,135842.41,1,0,0,1
605,France,Male,52.0,1,108887.44,63349.75,1,0,0,0
593,Germany,Female,38.0,4,154071.27,129499.42,1,1,1,0
751,Spain,Male,52.0,8,179291.85,0.0,2,1,1,0
443,Spain,Male,36.0,6,56937.43,70438.01,2,1,1,0
685,France,Male,23.0,8,112239.03,0.0,2,1,1,0
718,France,Male,36.0,9,45909.87,0.0,1,0,0,0
538,Spain,Female,49.0,9,173779.25,141434.04,1,0,0,1
611,Spain,Female,37.0,4,125696.26,0.0,2,0,0,0
668,Germany,Male,37.0,10,159585.61,152958.29,2,1,1,0
537,Germany,Female,41.0,3,106761.47,138306.34,1,0,0,0
709,Spain,Male,23.0,10,129590.18,0.0,2,0,0,0
850,France,Male,38.0,1,80006.65,0.0,2,1,1,0
745,Spain,Female,31.0,3,140451.52,124328.84,1,1,1,0
693,Germany,Female,41.0,9,187929.43,181461.48,3,1,1,1
795,Spain,Male,35.0,8,167155.36,0.0,2,0,0,0
626,Spain,Male,26.0,8,191420.71,0.0,2,0,0,0
487,Germany,Female,61.0,5,11384.45,110368.03,1,0,0,1
556,France,Female,39.0,9,94898.1,89588.35,1,1,1,0
643,France,Female,46.0,6,106781.59,0.0,2,0,0,0
605,France,Female,28.0,6,159508.52,0.0,2,0,0,0
756,Germany,Female,60.0,3,93524.19,115924.89,1,0,0,1
586,France,Female,38.0,2,87168.46,0.0,2,0,0,0
535,Germany,Male,40.0,7,8128.32,111756.5,1,0,0,1
678,France,Female,35.0,4,125518.32,0.0,1,0,0,0
596,France,Male,39.0,9,48963.59,0.0,1,0,0,0
648,France,Male,26.0,9,98368.24,162923.85,1,0,0,0
492,Germany,Male,39.0,10,148584.61,124576.65,2,0,0,0
702,France,Male,45.0,0,27474.81,80793.58,1,1,1,0
486,Germany,Female,40.0,9,76192.21,71340.09,1,0,0,0
568,Germany,Male,40.0,1,134600.94,99282.63,1,0,0,1
619,Germany,Male,57.0,3,72467.99,137946.39,1,1,1,1
724,Germany,Male,41.0,2,199645.45,127892.57,2,1,1,0
548,Germany,Female,33.0,0,42749.85,101084.36,1,0,0,0
545,Germany,Female,37.0,8,136050.44,114754.08,1,0,0,1
683,France,Male,33.0,8,73564.44,0.0,1,0,0,0
762,France,Female,51.0,3,85578.63,99286.98,1,1,1,0
627,Germany,Female,30.0,4,129826.89,79871.02,2,0,0,0
516,France,Male,35.0,10,119666.0,104088.59,2,0,0,0
800,France,Female,38.0,2,68052.08,168190.33,2,0,0,0
